2023.01 11.23:41:53 [main] INFO  com.myguruproject.testCases.BaseClass - Entered username
"2023.01 11.23:41:53 [main] INFO  com.myguruproject.testCases.BaseClass - Entered password
"2023.01 12.18:45:52 [main] INFO  com.myguruproject.testCases.Base - URL is opened
"2023.01 12.18:45:52 [main] INFO  com.myguruproject.testCases.Base - Entered username
"2023.01 12.18:45:52 [main] INFO  com.myguruproject.testCases.Base - Entered password
"2023.01 12.18:45:58 [main] INFO  com.myguruproject.testCases.Base - URL is opened
"2023.01 12.18:45:58 [main] INFO  com.myguruproject.testCases.Base - Entered username
"2023.01 12.18:45:58 [main] INFO  com.myguruproject.testCases.Base - Entered password
"2023.01 12.18:46:03 [main] INFO  com.myguruproject.testCases.Base - URL is opened
"2023.01 12.18:46:03 [main] INFO  com.myguruproject.testCases.Base - Entered username
"2023.01 12.18:46:04 [main] INFO  com.myguruproject.testCases.Base - Entered password
"2023.01 12.18:48:50 [main] INFO  com.myguruproject.testCases.Base - URL is opened
"
