2023.01 12.19:49:00 [main] INFO  com.myguruproject.testCases.BaseClass - login passed
"2023.01 12.19:50:37 [main] INFO  com.myguruproject.testCases.BaseClass - URL is opened
"2023.01 12.19:50:37 [main] INFO  com.myguruproject.testCases.BaseClass - Entered username
"2023.01 12.19:50:37 [main] INFO  com.myguruproject.testCases.BaseClass - Entered password
"2023.01 12.19:50:51 [main] INFO  com.myguruproject.testCases.BaseClass - URL is opened
"2023.01 12.19:50:51 [main] INFO  com.myguruproject.testCases.BaseClass - Entered username
"2023.01 12.19:50:52 [main] INFO  com.myguruproject.testCases.BaseClass - Entered password
"2023.01 12.19:50:56 [main] INFO  com.myguruproject.testCases.BaseClass - URL is opened
"2023.01 12.19:50:56 [main] INFO  com.myguruproject.testCases.BaseClass - Entered username
"2023.01 12.19:50:57 [main] INFO  com.myguruproject.testCases.BaseClass - Entered password
"2023.01 12.19:51:01 [main] INFO  com.myguruproject.testCases.BaseClass - URL is opened
"2023.01 12.19:51:01 [main] INFO  com.myguruproject.testCases.BaseClass - Entered username
"
